"网络类型","授权方向","授权策略","IP协议","端口范围","优先级","源IP地址段","源IPv6地址段","源安全组","源端安全组名称","源安全组所属阿里云账户ID","源端端口范围","目标IP地址段","目的IPv6地址段","目标安全组","目的端安全组名称","目标安全组所属阿里云账户ID","描述信息","创建时间（UTC）","",""
"intranet","ingress","Accept","TCP","8888/8888","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:54Z","",""
"intranet","ingress","Accept","TCP","1433/1433","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","97/97","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","6004/6004","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","98/98","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","5997/5997","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","6005/6005","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","96/96","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","UDP","5997/5997","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","5996/5996","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","99/99","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","6001/6001","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","22/22","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","5995/5995","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","5998/5998","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","3389/3389","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","6008/6008","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","6006/6006","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","ICMP","-1/-1","1","0.0.0.0/0","","","","","-1/-1","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","80/80","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","6007/6007","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","6003/6003","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","443/443","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","5999/5999","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","95/95","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","6002/6002","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","5994/5994","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","UDP","5998/5998","1","0.0.0.0/0","","","","","","","","","","","","2021-12-17T14:24:30Z","",""
"intranet","ingress","Accept","TCP","22/22","100","0.0.0.0/0","","","","","","","","","","","System created rule.","2021-12-17T14:10:51Z","",""
"intranet","ingress","Accept","ICMP","-1/-1","100","0.0.0.0/0","","","","","-1/-1","","","","","","System created rule.","2021-12-17T14:10:51Z","",""
"intranet","ingress","Accept","TCP","3389/3389","100","0.0.0.0/0","","","","","","","","","","","System created rule.","2021-12-17T14:10:51Z","",""
